bird_id,common_name,sex,scientific_name,family,length_lower,length_upper,body_mass_lower,body_mass_upper,wingspan_lower,wingspan_upper,NF_wing_bar,NF_long_neck,NF_colorful,NF_large_bill,NF_long_tail,NF_plumage,NF_long_legs,other,C_Black,C_White,C_Brown,C_Red,C_Grey,C_Orange_Yellow,C_Green,C_Blue,C_purple
97,Red-Throated Loon,Both,Gavia stellata,Gaviidae,53,69,1,2.7,100,120,0,1,0,0,0,0,0,N/A,1,1,0,1,1,0,0,0,0
98,Arctic  Loon,Both,Gavia arctica,Gaviidae,28,77,2,3.4,100,130,0,1,0,0,0,0,0,Similar to pacific loon,1,1,0,0,1,0,0,0,0
99,Pacific Loon,Both , Gavia pacifica,Gaviidae,58,74,1,2.5,110,128,0,1,0,0,0,0,0,Similar to arctic loon,1,1,0,0,1,0,0,0,0
100,Common Loon,Both,Gavia immer,Gaviidae,66,91,2.5,6.1,104,131,0,1,0,0,0,0,0,N/A,1,1,0,1,0,0,0,0,0
101,Yellow-Billed Loon,Both ,Gavia adamsii,Gaviidae,76,97,4,6.4,135,160,0,1,0,0,0,0,0,N/A,1,1,0,0,0,1,0,0,0
102,Pied-Billed Grebe,Both,Podilymbus podiceps,Podicipedidae,30,38,0.253,0.568,45,62,0,1,0,0,0,0,0,N/A,1,1,1,0,0,0,0,0,0
103,Horned Grebe,Male,Podiceps auritus,Podicipedidae,31,38,0.3,0.57,55,64,0,1,0,0,0,1,0,N/A,1,0,1,1,1,1,0,0,0
104,Horned Grebe,Female,Podiceps auritus,Podicipedidae,31,38,0.3,0.57,55,64,0,1,0,0,0,0,0,N/A,1,1,0,1,1,0,0,0,0
105,Red-Necked Grebe,Male,Podiceps grisegena,Podicipedidae,46,56,0.8,1.6,61,88,0,1,0,0,0,1,0,N/A,1,1,1,1,1,1,0,0,0
106,Red-Necked Grebe,Female,Podiceps grisegena,Podicipedidae,46,56,0.8,1.6,61,88,0,1,0,0,0,0,0,N/A,0,1,1,0,0,1,0,0,0
107,Eared Grebe,Male,Podiceps nigricollis,Podicipedidae,30,35,0.2,0.735,52,55,0,1,0,0,0,0,0,N/A,1,0,1,1,0,1,0,0,0
108,Eared Grebe,Female,Podiceps nigricollis,Podicipedidae,30,35,0.2,0.735,52,55,0,1,0,0,0,0,0,N/A,0,1,0,0,0,0,0,0,0
109,Western Grebe,Both,Aechmorphorus occidentalis,Podicipedidae,55,75,0.8,1.8,79,86,0,1,0,1,0,0,0,Similar to Clark's Grebe,1,1,0,1,0,1,0,0,0
110,Clark's Grebe,Both,Aechmorphorus clarkii,Podicipedidae,55,75,0.718,1.685,81,82,0,1,0,1,0,0,0,Similar to Western Grebe,1,1,0,1,0,1,0,0,0
111,Wood Stork,Both,Mycteria americana,Ciconiidae,85,115,2.05,2.64,150,175,0,1,0,1,0,0,1,N/A,1,1,0,1,1,0,0,0,0
112,Magnificent frigatebird,Male,Fregata magnificens,Fregatidae,89,114,1,1.9,217,224,0,0,0,1,1,0,0,N/A,1,0,0,1,0,0,0,0,0
113,Magnificent frigatebird,Female,Fregata magnificens,Fregatidae,89,114,1,1.9,217,224,0,0,0,1,1,0,0,N/A,1,1,0,0,0,0,0,0,0
114,Neotropic Cormorant,Both,Phalacrocorax brasilianus,Phalacrocoracidae,60,62,1.07,1.5,101,103,0,1,0,0,0,0,0,Similar to double-crested cormorant,1,1,1,0,0,1,1,0,0
115,Double-Crested Cormorant,Both,Phalacrocorax auritus,Phalacrocoracidae,70,90,1.2,2.5,114,123,0,1,0,0,0,0,0,Similar to neotropic cormorant,1,0,1,0,0,0,0,0,0
116,"Anhinga, or, Snakebird",Both,Anhinga anhinga,Anhingidae,75,95,1.325,1.35,108,110,0,1,0,1,1,0,0,N/A,1,1,1,0,0,1,0,1,0
117,American White Pelican,Both,Pelecanus erythrorhynchos,Pelecanidae,127,165,4.5,9,244,290,0,1,0,1,0,0,0,N/A,1,1,0,1,0,1,0,0,0
118,Brown Pelican,Both,Pelecanus occidentalis,Pelecanidae,100,137,2,5,199,201,0,1,0,1,0,0,0,N/A,1,1,1,1,1,1,0,0,0
119,American Bittern,Both,Botaurus lentiginosus,Ardeidae,60,85,0.37,0.5,91,93,0,0,0,1,0,0,0,N/A,0,1,1,0,1,1,0,0,0
120,Least Bittern,Both,Ixobrychus exilis,Ardeidae,28,36,0.051,0.102,41,46,0,1,0,1,0,0,0,N/A,1,1,1,0,0,1,0,0,0
